rain_1h,rain_3h,rain_24h,soil_moisture,elevation,slope,hist_count,hist_fatalities,label
3.6,7.9,29.8,0.274,1457.9,29.2,0,0,0
11.1,15.4,55.5,0.471,2966.4,46.2,9,0,1
13.7,30.7,187.3,0.457,1474.0,19.7,10,0,1
1.5,14.0,35.4,0.214,1161.9,20.9,0,0,0
2.4,14.1,56.2,0.291,1086.5,34.3,0,0,0
0.8,3.1,15.1,0.236,132.6,3.6,0,0,0
1.0,4.7,46.1,0.224,696.8,41.5,1,0,0
3.1,7.3,37.4,0.278,1748.0,21.2,4,0,0
31.8,43.6,143.1,0.571,440.1,35.2,4,0,1
31.0,62.8,128.5,0.418,108.8,13.8,0,0,0
2.3,6.9,32.3,0.186,2320.7,22.4,2,0,0
30.0,65.3,126.9,0.429,251.7,9.1,0,0,0
17.4,61.4,121.4,0.402,875.1,29.8,22,1,1
0.5,1.7,6.2,0.264,94.8,4.5,0,0,0
9.9,21.1,72.9,0.389,2851.5,28.7,5,1,1
15.9,31.7,191.7,0.42,1522.2,36.7,24,0,1
24.9,48.5,195.4,0.462,510.9,27.8,8,0,1
11.3,48.7,213.5,0.465,1118.9,55.8,18,0,1
15.3,22.0,222.7,0.484,2462.5,30.7,6,2,1
1.6,5.6,27.4,0.196,1665.4,28.4,0,0,0
19.0,25.6,131.3,0.489,2728.6,41.3,5,0,0
6.5,17.2,73.4,0.308,972.0,24.5,1,0,0
14.1,33.4,134.9,0.462,1937.8,18.0,3,0,1
23.8,34.2,99.4,0.462,1350.6,45.2,20,0,1
23.1,65.8,114.5,0.418,642.7,41.8,3,0,1
1.6,3.2,16.0,0.31,204.4,9.0,0,0,0
7.6,26.2,68.4,0.335,780.2,32.1,0,0,0
0.2,0.9,27.9,0.199,140.4,4.0,0,0,0
3.2,17.2,52.7,0.274,991.7,32.9,4,0,0
0.2,1.0,4.2,0.239,193.3,10.4,0,0,0
1.9,5.5,17.3,0.142,183.1,6.9,0,0,0
24.9,35.1,171.3,0.56,2462.9,32.5,2,0,1
1.6,3.8,28.8,0.351,1593.0,27.3,4,0,0
19.5,52.8,172.2,0.429,2985.2,22.6,20,0,1
3.2,14.5,47.2,0.241,747.2,34.1,3,0,0
0.0,0.3,3.7,0.278,222.1,3.3,0,0,0
24.7,41.0,222.7,0.4,2172.9,29.0,12,0,1
16.8,21.5,79.9,0.542,867.6,53.2,4,0,0
11.6,40.7,130.4,0.487,304.1,7.2,1,0,0
0.6,2.0,8.4,0.308,158.9,2.5,0,0,0
33.1,69.4,150.2,0.44,313.7,5.8,0,0,0
8.1,12.9,54.5,0.57,2168.5,46.3,4,0,1
2.4,8.5,32.1,0.27,1642.7,41.6,1,0,0
45.6,69.8,136.3,0.46,1187.4,42.9,13,0,1
24.9,44.9,165.1,0.432,2338.6,41.6,19,0,1
11.6,34.5,98.8,0.54,226.1,5.3,1,0,0
30.3,65.5,239.0,0.562,2203.0,53.9,17,0,1
2.9,18.0,52.8,0.269,1491.1,26.9,3,0,0
26.6,35.9,129.5,0.494,3172.7,26.4,3,0,0
11.5,17.3,58.8,0.513,1636.9,45.8,20,0,1
20.9,48.0,140.5,0.517,2943.3,38.0,7,0,1
27.3,76.4,178.6,0.478,189.5,1.6,0,0,0
19.9,65.8,172.2,0.492,990.9,56.9,10,0,1
5.6,21.9,55.7,0.232,1025.1,29.1,3,0,0
26.4,39.5,84.7,0.505,2129.6,52.7,6,0,1
4.8,12.9,53.4,0.185,1073.8,40.2,4,0,0
23.8,34.7,162.2,0.388,3097.8,41.6,10,0,1
28.4,63.4,138.2,0.507,190.6,13.2,2,0,0
0.3,1.4,8.8,0.14,104.1,3.8,0,0,0
24.0,56.2,131.5,0.541,2937.4,51.5,19,0,1
1.9,4.0,13.3,0.164,108.5,5.2,0,0,0
24.8,89.2,177.6,0.538,57.5,4.6,0,0,0
0.0,0.0,25.1,0.156,282.0,11.0,0,0,0
42.5,96.2,192.3,0.424,230.4,10.6,2,0,0
19.9,74.9,157.3,0.51,298.8,4.2,2,0,0
0.3,6.0,26.1,0.185,101.0,7.6,0,0,0
35.9,73.2,152.2,0.568,2478.6,24.2,15,0,0
13.2,27.3,112.3,0.544,1706.2,51.8,17,0,1
19.2,44.6,198.7,0.458,1609.6,33.9,2,0,1
21.4,72.1,190.1,0.482,192.6,7.6,2,0,0
10.9,31.4,89.1,0.563,2414.9,22.9,25,0,1
17.1,38.5,95.6,0.498,47.0,3.9,1,0,0
1.5,9.0,41.7,0.335,1595.3,26.7,1,0,0
16.0,42.4,75.9,0.524,3019.1,50.2,20,0,1
34.3,63.8,144.3,0.453,108.5,9.5,1,0,0
25.4,55.3,105.0,0.515,1263.9,30.1,5,2,1
0.2,0.8,3.8,0.278,105.5,6.6,0,0,0
4.8,11.3,42.7,0.184,1970.3,25.1,3,0,0
22.2,54.5,154.3,0.433,294.6,1.3,1,0,0
18.6,56.7,200.1,0.558,157.2,9.4,1,0,0
0.5,6.0,23.6,0.145,61.4,1.9,0,0,0
10.6,27.1,66.9,0.282,991.9,22.6,1,0,0
30.3,63.5,124.7,0.443,572.9,42.2,7,2,1
0.1,0.9,13.6,0.279,123.2,10.6,0,0,0
7.4,28.4,66.9,0.278,659.4,41.2,4,0,0
12.5,32.0,119.0,0.543,145.4,9.9,1,0,0
1.6,8.2,24.7,0.348,1407.4,29.0,0,0,0
5.1,10.2,34.1,0.21,2173.5,37.0,2,0,0
19.1,26.3,195.7,0.572,3131.1,33.8,16,0,1
2.4,9.4,26.7,0.299,218.3,10.7,0,0,0
28.5,95.6,175.9,0.437,338.3,9.5,1,0,0
19.4,37.2,179.8,0.562,639.4,23.6,24,2,1
19.5,44.4,233.9,0.453,3006.4,26.0,18,0,1
14.7,23.7,95.2,0.393,2734.6,38.0,18,0,1
33.1,66.3,112.4,0.557,2515.7,23.3,14,0,1
0.8,3.9,28.3,0.236,252.1,1.7,0,0,0
1.0,2.2,10.5,0.268,260.6,1.1,0,0,0
2.2,10.1,36.7,0.325,1696.9,29.4,0,0,0
0.9,2.5,13.8,0.254,84.5,3.9,0,0,0
7.0,18.7,57.8,0.2,1245.8,32.4,3,0,0
5.3,12.9,64.5,0.292,1959.1,25.4,1,0,0
39.6,94.9,184.1,0.562,374.3,30.0,12,0,1
0.9,3.2,9.3,0.286,247.5,0.9,0,0,0
0.8,2.5,22.9,0.211,117.4,4.2,0,0,0
0.2,0.7,12.4,0.159,289.6,7.2,0,0,0
32.2,80.0,226.7,0.529,2293.2,19.2,16,0,1
2.4,11.1,43.3,0.335,877.7,29.3,3,0,0
2.7,8.2,21.5,0.234,122.2,7.2,0,0,0
6.8,20.9,47.8,0.359,676.6,23.7,0,0,0
2.0,8.5,26.9,0.28,66.7,7.9,0,0,0
16.8,29.6,76.9,0.417,389.9,24.5,3,1,1
12.0,28.5,81.9,0.407,2604.5,43.3,13,0,0
20.4,37.6,141.9,0.503,1601.5,44.3,4,0,1
9.2,28.2,165.4,0.402,678.3,53.8,19,0,1
27.1,94.3,182.1,0.529,61.6,8.8,2,0,0
25.7,38.9,141.4,0.519,1125.0,26.0,13,0,1
5.6,17.9,40.4,0.341,1975.8,30.3,4,0,0
13.7,26.9,121.2,0.447,897.6,44.8,8,2,1
0.0,0.1,6.9,0.255,90.1,2.6,0,0,0
