source_key,source_row,slide_no,state,latitude,longitude,raw_text
1:ASM/HKN/83D07/2020/2,1,ASM/HKN/83D07/2020/2,Assam,24.27,92.5,1 ASM/HKN/83D07/2020/2 Assam Hailakandi Kukinala slide Kukinala 24.27 92.5 Debris Slide NA
2:AS/HKN/83D11/2020/1,2,AS/HKN/83D11/2020/1,Assam,24.31,92.56,2 AS/HKN/83D11/2020/1 Assam Hailakandi Jalnachaura slide Jalnachaura 24.31 92.56 Debris Slide NA
3:AS/HKN/83D10/2020/6,3,AS/HKN/83D10/2020/6,Assam,24.32,92.51,3 AS/HKN/83D10/2020/6 Assam Hailakandi Nandagram slide Nandagram Pt. I 24.32 92.51 Debris Slide NA
4:AS/HKN/83D11/2020/4,4,AS/HKN/83D11/2020/4,Assam,24.43,92.55,4 AS/HKN/83D11/2020/4 Assam Hailakandi Nishkar slide Mahapur 24.43 92.55 Debris Slide NA
5:AS/KRJ/83D07/2020/1,5,AS/KRJ/83D07/2020/1,Assam,24.44,92.5,5 AS/KRJ/83D07/2020/1 Assam Karimganj Paglacherra slide PaglacherraPunj 24.44 92.5 Rock Slide NA
7:AS/HKN/83D11/2020/2,7,AS/HKN/83D11/2020/2,Assam,24.46,92.52,7 AS/HKN/83D11/2020/2 Assam Hailakandi Garapunjislide Telecherra 24.46 92.52 Debris Slide NA
8:ASM/HLKD/83D10/2016/58,8,ASM/HLKD/83D10/2016/58,Assam,24.478972,92.682861,8 ASM/HLKD/83D10/2016/58 Assam Hailakandi Terracherra Slide Terracherra area 24.478972 92.682861 Debris Slide 17 May 2016
9:AS/HKN/83D07/2020/1,9,AS/HKN/83D07/2020/1,Assam,24.48,92.49,9 AS/HKN/83D07/2020/1 Assam Hailakandi Maneshwarpur landslide Maneshwarpur 24.48 92.49 Debris Slide NA
10:AS/HKN/83D10/2020/7,10,AS/HKN/83D10/2020/7,Assam,24.51,92.64,10 AS/HKN/83D10/2020/7 Assam Hailakandi Kurttathal slide Nunaikhal 24.51 92.64 Debris Slide NA
11:AS/HKN/83D10/2020/4,11,AS/HKN/83D10/2020/4,Assam,24.51,92.75,11 AS/HKN/83D10/2020/4 Assam Hailakandi Dholaikhal slide Inner Line Reserved Forest 24.51 92.75 Rock Slide NA
12:AS/CHR/83D14/2020/3,12,AS/CHR/83D14/2020/3,Assam,24.51,92.9,12 AS/CHR/83D14/2020/3 Assam Cachar Bishnupur Puniyar Slide Bishnupur Puniyar 24.51 92.9 Debris Slide NA
13:AS/HKN/83D10/2020/5,13,AS/HKN/83D10/2020/5,Assam,24.51,92.71,13 AS/HKN/83D10/2020/5 Assam Hailakandi Barthal slide Bilaipur 24.51 92.71 Debris Slide NA
14:ASM/HLKD/83D10/2016/59,14,ASM/HLKD/83D10/2016/59,Assam,24.511306,92.693028,14 ASM/HLKD/83D10/2016/59 Assam Hailakandi Lalcherra Slide (Rabinala) Near Patakhouri Durga Mandir Under Bilaipur Forest Village; Lala Police Station 24.511306 92.693028 Debris Slide 18 May 2016
15:ASM/HLKD/83D10/2016/60,15,ASM/HLKD/83D10/2016/60,Assam,24.515944,92.540889,15 ASM/HLKD/83D10/2016/60 Assam Hailakandi Ramchandi (Koyabasti) Ramchandi area 24.515944 92.540889 Earth Slide 18 May 2016
